[LOG]Added St#1 	Position(264,15009) 	 to the Quad Tree.
[LOG]Added St#2 	Position(781,15010) 	 to the Quad Tree.
[LOG]Added St#3 	Position(1362,15004) 	 to the Quad Tree.
[LOG]Added St#4 	Position(1893,14975) 	 to the Quad Tree.
[LOG]Added St#5 	Position(2441,14987) 	 to the Quad Tree.
[LOG]Added St#6 	Position(2986,15024) 	 to the Quad Tree.
[LOG]Added St#7 	Position(3490,14992) 	 to the Quad Tree.
[LOG]Added St#8 	Position(4017,14974) 	 to the Quad Tree.
[LOG]Added St#9 	Position(4603,15017) 	 to the Quad Tree.
[LOG]Added St#10 	Position(5101,14982) 	 to the Quad Tree.
[LOG]Added St#11 	Position(5657,14987) 	 to the Quad Tree.
[LOG]Added St#12 	Position(6191,15010) 	 to the Quad Tree.
[LOG]Added St#13 	Position(6746,15026) 	 to the Quad Tree.
[LOG]Added St#14 	Position(7299,14974) 	 to the Quad Tree.
[LOG]Added St#15 	Position(7799,14990) 	 to the Quad Tree.
[LOG]Added St#16 	Position(8361,14995) 	 to the Quad Tree.
[LOG]Added St#17 	Position(8894,15009) 	 to the Quad Tree.
[LOG]Added St#18 	Position(9428,15006) 	 to the Quad Tree.
[LOG]Added St#19 	Position(9963,15004) 	 to the Quad Tree.
[LOG]Added St#20 	Position(10505,14988) 	 to the Quad Tree.
[LOG]Added St#21 	Position(11030,14991) 	 to the Quad Tree.
[LOG]Added St#22 	Position(11583,15020) 	 to the Quad Tree.
[LOG]Added St#23 	Position(12121,14995) 	 to the Quad Tree.
[LOG]Added St#24 	Position(12664,14997) 	 to the Quad Tree.
[LOG]Added St#25 	Position(13226,14988) 	 to the Quad Tree.
[LOG]Added St#26 	Position(13744,14976) 	 to the Quad Tree.
[LOG]Added St#27 	Position(14306,14998) 	 to the Quad Tree.
[LOG]Added St#28 	Position(14807,15018) 	 to the Quad Tree.
[LOG]Added St#29 	Position(15364,14994) 	 to the Quad Tree.
[LOG]Added St#30 	Position(15914,14989) 	 to the Quad Tree.
[LOG]Added St#31 	Position(16435,14994) 	 to the Quad Tree.
[LOG]Added St#32 	Position(16963,14992) 	 to the Quad Tree.
[LOG]Added St#33 	Position(17499,15017) 	 to the Quad Tree.
[LOG]Added St#34 	Position(18051,14990) 	 to the Quad Tree.
[LOG]Added St#35 	Position(18589,15004) 	 to the Quad Tree.
[LOG]Added St#36 	Position(19123,15014) 	 to the Quad Tree.
[LOG]Added St#37 	Position(19685,15019) 	 to the Quad Tree.
[LOG]Added St#38 	Position(20209,14985) 	 to the Quad Tree.
[LOG]Added St#39 	Position(20761,14988) 	 to the Quad Tree.
[LOG]Added St#40 	Position(21302,15025) 	 to the Quad Tree.
[LOG]Added St#41 	Position(21848,15021) 	 to the Quad Tree.
[LOG]Added St#42 	Position(22360,15002) 	 to the Quad Tree.
[LOG]Added St#43 	Position(22909,15012) 	 to the Quad Tree.
[LOG]Added St#44 	Position(23447,15000) 	 to the Quad Tree.
[LOG]Added St#45 	Position(23980,14985) 	 to the Quad Tree.
[LOG]Added St#46 	Position(24513,14976) 	 to the Quad Tree.
[LOG]Added St#47 	Position(-23,15531) 	 to the Quad Tree.
[LOG]Added St#48 	Position(558,15540) 	 to the Quad Tree.
[LOG]Added St#49 	Position(1075,15516) 	 to the Quad Tree.
[LOG]Added St#50 	Position(1621,15523) 	 to the Quad Tree.
[LOG]Added St#51 	Position(2140,15536) 	 to the Quad Tree.
[LOG]Added St#52 	Position(2684,15519) 	 to the Quad Tree.
[LOG]Added St#53 	Position(3207,15561) 	 to the Quad Tree.
[LOG]Added St#54 	Position(3775,15517) 	 to the Quad Tree.
[LOG]Added St#55 	Position(4297,15531) 	 to the Quad Tree.
[LOG]Added St#56 	Position(4868,15563) 	 to the Quad Tree.
[LOG]Added St#57 	Position(5364,15539) 	 to the Quad Tree.
[LOG]Added St#58 	Position(5921,15551) 	 to the Quad Tree.
[LOG]Added St#59 	Position(6492,15523) 	 to the Quad Tree.
[LOG]Added St#60 	Position(7033,15548) 	 to the Quad Tree.
[LOG]Added St#61 	Position(7562,15530) 	 to the Quad Tree.
[LOG]Added St#62 	Position(8111,15521) 	 to the Quad Tree.
[LOG]Added St#63 	Position(8597,15559) 	 to the Quad Tree.
[LOG]Added St#64 	Position(9172,15527) 	 to the Quad Tree.
[LOG]Added St#65 	Position(9700,15556) 	 to the Quad Tree.
[LOG]Added St#66 	Position(10225,15517) 	 to the Quad Tree.
[LOG]Added St#67 	Position(10760,15519) 	 to the Quad Tree.
[LOG]Added St#68 	Position(11300,15530) 	 to the Quad Tree.
[LOG]Added St#69 	Position(11831,15538) 	 to the Quad Tree.
[LOG]Added St#70 	Position(12400,15564) 	 to the Quad Tree.
[LOG]Added St#71 	Position(12921,15516) 	 to the Quad Tree.
[LOG]Added St#72 	Position(13452,15560) 	 to the Quad Tree.
[LOG]Added St#73 	Position(14038,15557) 	 to the Quad Tree.
[LOG]Added St#74 	Position(14549,15524) 	 to the Quad Tree.
[LOG]Added St#75 	Position(15072,15513) 	 to the Quad Tree.
[LOG]Added St#76 	Position(15604,15543) 	 to the Quad Tree.
[LOG]Added St#77 	Position(16186,15563) 	 to the Quad Tree.
[LOG]Added St#78 	Position(16725,15560) 	 to the Quad Tree.
[LOG]Added St#79 	Position(17225,15542) 	 to the Quad Tree.
[LOG]Added St#80 	Position(17771,15532) 	 to the Quad Tree.
[LOG]Added St#81 	Position(18319,15554) 	 to the Quad Tree.
[LOG]Added St#82 	Position(18868,15543) 	 to the Quad Tree.
[LOG]Added St#83 	Position(19385,15559) 	 to the Quad Tree.
[LOG]Added St#84 	Position(19921,15513) 	 to the Quad Tree.
[LOG]Added St#85 	Position(20493,15541) 	 to the Quad Tree.
[LOG]Added St#86 	Position(21018,15545) 	 to the Quad Tree.
[LOG]Added St#87 	Position(21573,15529) 	 to the Quad Tree.
[LOG]Added St#88 	Position(22094,15535) 	 to the Quad Tree.
[LOG]Added St#89 	Position(22654,15564) 	 to the Quad Tree.
[LOG]Added St#90 	Position(23177,15523) 	 to the Quad Tree.
[LOG]Added St#91 	Position(23719,15553) 	 to the Quad Tree.
[LOG]Added St#92 	Position(24276,15552) 	 to the Quad Tree.
[LOG]Added St#93 	Position(24767,15517) 	 to the Quad Tree.
[LOG]Added St#94 	Position(279,16083) 	 to the Quad Tree.
[LOG]Added St#95 	Position(781,16099) 	 to the Quad Tree.
[LOG]Added St#96 	Position(1332,16052) 	 to the Quad Tree.
[LOG]Added St#97 	Position(1903,16096) 	 to the Quad Tree.
[LOG]Added St#98 	Position(2412,16060) 	 to the Quad Tree.
[LOG]Added St#99 	Position(2954,16068) 	 to the Quad Tree.
[LOG]Added St#100 	Position(3505,16062) 	 to the Quad Tree.
[LOG]Added St#101 	Position(4056,16066) 	 to the Quad Tree.
[LOG]Added St#102 	Position(4603,16064) 	 to the Quad Tree.
[LOG]Added St#103 	Position(5111,16077) 	 to the Quad Tree.
[LOG]Added St#104 	Position(5638,16075) 	 to the Quad Tree.
[LOG]Added St#105 	Position(6180,16079) 	 to the Quad Tree.
[LOG]Added St#106 	Position(6722,16093) 	 to the Quad Tree.
[LOG]Added St#107 	Position(7295,16066) 	 to the Quad Tree.
[LOG]Added St#108 	Position(7807,16086) 	 to the Quad Tree.
[LOG]Added St#109 	Position(8377,16102) 	 to the Quad Tree.
[LOG]Added St#110 	Position(8874,16097) 	 to the Quad Tree.
[LOG]Added St#111 	Position(9452,16095) 	 to the Quad Tree.
[LOG]Added St#112 	Position(9962,16058) 	 to the Quad Tree.
[LOG]Added St#113 	Position(10491,16089) 	 to the Quad Tree.
[LOG]Added St#114 	Position(11056,16058) 	 to the Quad Tree.
[LOG]Added St#115 	Position(11606,16079) 	 to the Quad Tree.
[LOG]Added St#116 	Position(12104,16068) 	 to the Quad Tree.
[LOG]Added St#117 	Position(12646,16081) 	 to the Quad Tree.
[LOG]Added St#118 	Position(13209,16075) 	 to the Quad Tree.
[LOG]Added St#119 	Position(13760,16074) 	 to the Quad Tree.
[LOG]Added St#120 	Position(14267,16066) 	 to the Quad Tree.
[LOG]Added St#121 	Position(14813,16078) 	 to the Quad Tree.
[LOG]Added St#122 	Position(15369,16074) 	 to the Quad Tree.
[LOG]Added St#123 	Position(15922,16072) 	 to the Quad Tree.
[LOG]Added St#124 	Position(16424,16080) 	 to the Quad Tree.
[LOG]Added St#125 	Position(16975,16077) 	 to the Quad Tree.
[LOG]Added St#126 	Position(17497,16090) 	 to the Quad Tree.
[LOG]Added St#127 	Position(18065,16060) 	 to the Quad Tree.
[LOG]Added St#128 	Position(18570,16082) 	 to the Quad Tree.
[LOG]Added St#129 	Position(19108,16064) 	 to the Quad Tree.
[LOG]Added St#130 	Position(19653,16058) 	 to the Quad Tree.
[LOG]Added St#131 	Position(20203,16090) 	 to the Quad Tree.
[LOG]Added St#132 	Position(20755,16068) 	 to the Quad Tree.
[LOG]Added St#133 	Position(21309,16103) 	 to the Quad Tree.
[LOG]Added St#134 	Position(21843,16090) 	 to the Quad Tree.
[LOG]Added St#135 	Position(22375,16087) 	 to the Quad Tree.
[LOG]Added St#136 	Position(22925,16052) 	 to the Quad Tree.
[LOG]Added St#137 	Position(23426,16065) 	 to the Quad Tree.
[LOG]Added St#138 	Position(24011,16065) 	 to the Quad Tree.
[LOG]Added St#139 	Position(24520,16063) 	 to the Quad Tree.
[LOG]Added St#140 	Position(11,16622) 	 to the Quad Tree.
[LOG]Added St#141 	Position(513,16607) 	 to the Quad Tree.
[LOG]Added St#142 	Position(1101,16603) 	 to the Quad Tree.
[LOG]Added St#143 	Position(1639,16612) 	 to the Quad Tree.
[LOG]Added St#144 	Position(2175,16624) 	 to the Quad Tree.
[LOG]Added St#145 	Position(2714,16622) 	 to the Quad Tree.
[LOG]Added St#146 	Position(3246,16627) 	 to the Quad Tree.
[LOG]Added St#147 	Position(3764,16607) 	 to the Quad Tree.
[LOG]Added St#148 	Position(4317,16641) 	 to the Quad Tree.
[LOG]Added St#149 	Position(4869,16617) 	 to the Quad Tree.
[LOG]Added St#150 	Position(5413,16641) 	 to the Quad Tree.
[LOG]Added St#151 	Position(5912,16603) 	 to the Quad Tree.
[LOG]Added St#152 	Position(6491,16621) 	 to the Quad Tree.
[LOG]Added St#153 	Position(7018,16625) 	 to the Quad Tree.
[LOG]Added St#154 	Position(7569,16617) 	 to the Quad Tree.
[LOG]Added St#155 	Position(8067,16624) 	 to the Quad Tree.
[LOG]Added St#156 	Position(8625,16590) 	 to the Quad Tree.
[LOG]Added St#157 	Position(9168,16604) 	 to the Quad Tree.
[LOG]Added St#158 	Position(9705,16627) 	 to the Quad Tree.
[LOG]Added St#159 	Position(10255,16604) 	 to the Quad Tree.
[LOG]Added St#160 	Position(10784,16624) 	 to the Quad Tree.
[LOG]Added St#161 	Position(11336,16636) 	 to the Quad Tree.
[LOG]Added St#162 	Position(11877,16631) 	 to the Quad Tree.
[LOG]Added St#163 	Position(12383,16604) 	 to the Quad Tree.
[LOG]Added St#164 	Position(12924,16602) 	 to the Quad Tree.
[LOG]Added St#165 	Position(13449,16623) 	 to the Quad Tree.
[LOG]Added St#166 	Position(14038,16609) 	 to the Quad Tree.
[LOG]Added St#167 	Position(14577,16603) 	 to the Quad Tree.
[LOG]Added St#168 	Position(15097,16591) 	 to the Quad Tree.
[LOG]Added St#169 	Position(15620,16604) 	 to the Quad Tree.
[LOG]Added St#170 	Position(16181,16595) 	 to the Quad Tree.
[LOG]Added St#171 	Position(16710,16600) 	 to the Quad Tree.
[LOG]Added St#172 	Position(17233,16637) 	 to the Quad Tree.
[LOG]Added St#173 	Position(17781,16617) 	 to the Quad Tree.
[LOG]Added St#174 	Position(18314,16590) 	 to the Quad Tree.
[LOG]Added St#175 	Position(18869,16632) 	 to the Quad Tree.
[LOG]Added St#176 	Position(19380,16631) 	 to the Quad Tree.
[LOG]Added St#177 	Position(19947,16611) 	 to the Quad Tree.
[LOG]Added St#178 	Position(20487,16620) 	 to the Quad Tree.
[LOG]Added St#179 	Position(21035,16594) 	 to the Quad Tree.
[LOG]Added St#180 	Position(21579,16590) 	 to the Quad Tree.
[LOG]Added St#181 	Position(22104,16605) 	 to the Quad Tree.
[LOG]Added St#182 	Position(22656,16592) 	 to the Quad Tree.
[LOG]Added St#183 	Position(23155,16592) 	 to the Quad Tree.
[LOG]Added St#184 	Position(23719,16628) 	 to the Quad Tree.
[LOG]Added St#185 	Position(24240,16635) 	 to the Quad Tree.
[LOG]Added St#186 	Position(24775,16604) 	 to the Quad Tree.
[LOG]Added St#187 	Position(256,17159) 	 to the Quad Tree.
[LOG]Added St#188 	Position(819,17166) 	 to the Quad Tree.
[LOG]Added St#189 	Position(1371,17140) 	 to the Quad Tree.
[LOG]Added St#190 	Position(1865,17138) 	 to the Quad Tree.
[LOG]Added St#191 	Position(2443,17151) 	 to the Quad Tree.
[LOG]Added St#192 	Position(2952,17144) 	 to the Quad Tree.
[LOG]Added St#193 	Position(3507,17146) 	 to the Quad Tree.
[LOG]Added St#194 	Position(4044,17157) 	 to the Quad Tree.
[LOG]Added St#195 	Position(4599,17147) 	 to the Quad Tree.
[LOG]Added St#196 	Position(5131,17159) 	 to the Quad Tree.
[LOG]Added St#197 	Position(5649,17163) 	 to the Quad Tree.
[LOG]Added St#198 	Position(6215,17134) 	 to the Quad Tree.
[LOG]Added St#199 	Position(6746,17154) 	 to the Quad Tree.
[LOG]Added St#200 	Position(7269,17141) 	 to the Quad Tree.
[LOG]Added St#201 	Position(7817,17134) 	 to the Quad Tree.
[LOG]Added St#202 	Position(8367,17160) 	 to the Quad Tree.
[LOG]Added St#203 	Position(8877,17166) 	 to the Quad Tree.
[LOG]Added St#204 	Position(9423,17131) 	 to the Quad Tree.
[LOG]Added St#205 	Position(9971,17181) 	 to the Quad Tree.
[LOG]Added St#206 	Position(10483,17179) 	 to the Quad Tree.
[LOG]Added St#207 	Position(11041,17147) 	 to the Quad Tree.
[LOG]Added St#208 	Position(11611,17170) 	 to the Quad Tree.
[LOG]Added St#209 	Position(12133,17154) 	 to the Quad Tree.
[LOG]Added St#210 	Position(12639,17136) 	 to the Quad Tree.
[LOG]Added St#211 	Position(13207,17158) 	 to the Quad Tree.
[LOG]Added St#212 	Position(13750,17134) 	 to the Quad Tree.
[LOG]Added St#213 	Position(14268,17171) 	 to the Quad Tree.
[LOG]Added St#214 	Position(14818,17180) 	 to the Quad Tree.
[LOG]Added St#215 	Position(15355,17136) 	 to the Quad Tree.
[LOG]Added St#216 	Position(15911,17138) 	 to the Quad Tree.
[LOG]Added St#217 	Position(16421,17146) 	 to the Quad Tree.
[LOG]Added St#218 	Position(17002,17166) 	 to the Quad Tree.
[LOG]Added St#219 	Position(17511,17176) 	 to the Quad Tree.
[LOG]Added St#220 	Position(18077,17181) 	 to the Quad Tree.
[LOG]Added St#221 	Position(18616,17153) 	 to the Quad Tree.
[LOG]Added St#222 	Position(19114,17156) 	 to the Quad Tree.
[LOG]Added St#223 	Position(19669,17160) 	 to the Quad Tree.
[LOG]Added St#224 	Position(20216,17178) 	 to the Quad Tree.
[LOG]Added St#225 	Position(20758,17172) 	 to the Quad Tree.
[LOG]Added St#226 	Position(21278,17169) 	 to the Quad Tree.
[LOG]Added St#227 	Position(21851,17181) 	 to the Quad Tree.
[LOG]Added St#228 	Position(22371,17161) 	 to the Quad Tree.
[LOG]Added St#229 	Position(22916,17151) 	 to the Quad Tree.
[LOG]Added St#230 	Position(23440,17136) 	 to the Quad Tree.
[LOG]Added St#231 	Position(23958,17170) 	 to the Quad Tree.
[LOG]Added St#232 	Position(24541,17136) 	 to the Quad Tree.
[LOG]Added St#233 	Position(-14,17668) 	 to the Quad Tree.
[LOG]Added St#234 	Position(543,17705) 	 to the Quad Tree.
[LOG]Added St#235 	Position(1065,17713) 	 to the Quad Tree.
[LOG]Added St#236 	Position(1636,17720) 	 to the Quad Tree.
[LOG]Added St#237 	Position(2175,17693) 	 to the Quad Tree.
[LOG]Added St#238 	Position(2669,17679) 	 to the Quad Tree.
[LOG]Added St#239 	Position(3210,17702) 	 to the Quad Tree.
[LOG]Added St#240 	Position(3784,17716) 	 to the Quad Tree.
[LOG]Added St#241 	Position(4319,17690) 	 to the Quad Tree.
[LOG]Added St#242 	Position(4831,17717) 	 to the Quad Tree.
[LOG]Added St#243 	Position(5372,17685) 	 to the Quad Tree.
[LOG]Added St#244 	Position(5904,17708) 	 to the Quad Tree.
[LOG]Added St#245 	Position(6442,17679) 	 to the Quad Tree.
[LOG]Added St#246 	Position(7005,17713) 	 to the Quad Tree.
[LOG]Added St#247 	Position(7557,17702) 	 to the Quad Tree.
[LOG]Added St#248 	Position(8098,17692) 	 to the Quad Tree.
[LOG]Added St#249 	Position(8621,17710) 	 to the Quad Tree.
[LOG]Added St#250 	Position(9169,17678) 	 to the Quad Tree.
[LOG]Added St#251 	Position(9723,17691) 	 to the Quad Tree.
[LOG]Added St#252 	Position(10235,17692) 	 to the Quad Tree.
[LOG]Added St#253 	Position(10762,17705) 	 to the Quad Tree.
[LOG]Added St#254 	Position(11304,17685) 	 to the Quad Tree.
[LOG]Added St#255 	Position(11859,17714) 	 to the Quad Tree.
[LOG]Added St#256 	Position(12404,17668) 	 to the Quad Tree.
[LOG]Added St#257 	Position(12921,17682) 	 to the Quad Tree.
[LOG]Added St#258 	Position(13485,17676) 	 to the Quad Tree.
[LOG]Added St#259 	Position(14002,17691) 	 to the Quad Tree.
[LOG]Added St#260 	Position(14573,17691) 	 to the Quad Tree.
[LOG]Added St#261 	Position(15069,17702) 	 to the Quad Tree.
[LOG]Added St#262 	Position(15647,17715) 	 to the Quad Tree.
[LOG]Added St#263 	Position(16147,17700) 	 to the Quad Tree.
[LOG]Added St#264 	Position(16713,17697) 	 to the Quad Tree.
[LOG]Added St#265 	Position(17245,17716) 	 to the Quad Tree.
[LOG]Added St#266 	Position(17783,17684) 	 to the Quad Tree.
[LOG]Added St#267 	Position(18324,17704) 	 to the Quad Tree.
[LOG]Added St#268 	Position(18882,17686) 	 to the Quad Tree.
[LOG]Added St#269 	Position(19422,17688) 	 to the Quad Tree.
[LOG]Added St#270 	Position(19931,17680) 	 to the Quad Tree.
[LOG]Added St#271 	Position(20467,17699) 	 to the Quad Tree.
[LOG]Added St#272 	Position(21029,17691) 	 to the Quad Tree.
[LOG]Added St#273 	Position(21542,17682) 	 to the Quad Tree.
[LOG]Added St#274 	Position(22085,17697) 	 to the Quad Tree.
[LOG]Added St#275 	Position(22637,17719) 	 to the Quad Tree.
[LOG]Added St#276 	Position(23158,17702) 	 to the Quad Tree.
